Whop product,Pricing plan,Due today,Installments,Build total,PASTE WHOP LINK HERE
GP Template,Pay in full,"$18,000",none,"$18,000",
GP Template,$15K down (5% fee),"$15,000","2 x $1,575 every 4 weeks","$18,150",
GP Template,$10K down (15% fee),"$10,000","2 x $4,600 every 4 weeks","$19,200",
GP Template + Branded,Pay in full,"$20,500",none,"$20,500",
GP Template + Branded,$15K down (5% fee),"$15,000","2 x $2,887.50 every 4 weeks","$20,775",
GP Template + Branded,$10K down (15% fee),"$10,000","2 x $6,037.50 every 4 weeks","$22,075",
GP Template + Peptides,Pay in full,"$23,000",none,"$23,000",
GP Template + Peptides,$15K down (5% fee),"$15,000","2 x $4,200 every 4 weeks","$23,400",
GP Template + Peptides,$10K down (15% fee),"$10,000","2 x $7,475 every 4 weeks","$24,950",
GP Template + Engine,Pay in full,"$24,500",none,"$24,500",
GP Template + Engine,$15K down (5% fee),"$15,000","2 x $4,987.50 every 4 weeks","$24,975",
GP Template + Engine,$10K down (15% fee),"$10,000","2 x $8,337.50 every 4 weeks","$26,675",
GP Template + Branded + Peptides,Pay in full,"$25,500",none,"$25,500",
GP Template + Branded + Peptides,$15K down (5% fee),"$15,000","2 x $5,512.50 every 4 weeks","$26,025",
GP Template + Branded + Peptides,$10K down (15% fee),"$10,000","2 x $8,912.50 every 4 weeks","$27,825",
GP Template + Branded + Engine,Pay in full,"$27,000",none,"$27,000",
GP Template + Branded + Engine,$15K down (5% fee),"$15,000","2 x $6,300 every 4 weeks","$27,600",
GP Template + Branded + Engine,$10K down (15% fee),"$10,000","2 x $9,775 every 4 weeks","$29,550",
GP Template + Peptides + Engine,Pay in full,"$29,500",none,"$29,500",
GP Template + Peptides + Engine,$15K down (5% fee),"$15,000","2 x $7,612.50 every 4 weeks","$30,225",
GP Template + Peptides + Engine,$10K down (15% fee),"$10,000","2 x $11,212.50 every 4 weeks","$32,425",
GP Template + Branded + Peptides + Engine,Pay in full,"$32,000",none,"$32,000",
GP Template + Branded + Peptides + Engine,$15K down (5% fee),"$15,000","2 x $8,925 every 4 weeks","$32,850",
GP Template + Branded + Peptides + Engine,$10K down (15% fee),"$10,000","2 x $12,650 every 4 weeks","$35,300",
GP Custom,Pay in full,"$27,000",none,"$27,000",
GP Custom,$15K down (5% fee),"$15,000","2 x $6,300 every 4 weeks","$27,600",
GP Custom,$10K down (15% fee),"$10,000","2 x $9,775 every 4 weeks","$29,550",
GP Custom + Branded,Pay in full,"$29,500",none,"$29,500",
GP Custom + Branded,$15K down (5% fee),"$15,000","2 x $7,612.50 every 4 weeks","$30,225",
GP Custom + Branded,$10K down (15% fee),"$10,000","2 x $11,212.50 every 4 weeks","$32,425",
GP Custom + Peptides,Pay in full,"$32,000",none,"$32,000",
GP Custom + Peptides,$15K down (5% fee),"$15,000","2 x $8,925 every 4 weeks","$32,850",
GP Custom + Peptides,$10K down (15% fee),"$10,000","2 x $12,650 every 4 weeks","$35,300",
GP Custom + Engine,Pay in full,"$33,500",none,"$33,500",
GP Custom + Engine,$15K down (5% fee),"$15,000","2 x $9,712.50 every 4 weeks","$34,425",
GP Custom + Engine,$10K down (15% fee),"$10,000","2 x $13,512.50 every 4 weeks","$37,025",
GP Custom + Branded + Peptides,Pay in full,"$34,500",none,"$34,500",
GP Custom + Branded + Peptides,$15K down (5% fee),"$15,000","2 x $10,237.50 every 4 weeks","$35,475",
GP Custom + Branded + Peptides,$10K down (15% fee),"$10,000","2 x $14,087.50 every 4 weeks","$38,175",
GP Custom + Branded + Engine,Pay in full,"$36,000",none,"$36,000",
GP Custom + Branded + Engine,$15K down (5% fee),"$15,000","2 x $11,025 every 4 weeks","$37,050",
GP Custom + Branded + Engine,$10K down (15% fee),"$10,000","2 x $14,950 every 4 weeks","$39,900",
GP Custom + Peptides + Engine,Pay in full,"$38,500",none,"$38,500",
GP Custom + Peptides + Engine,$15K down (5% fee),"$15,000","2 x $12,337.50 every 4 weeks","$39,675",
GP Custom + Peptides + Engine,$10K down (15% fee),"$10,000","2 x $16,387.50 every 4 weeks","$42,775",
GP Custom + Branded + Peptides + Engine,Pay in full,"$41,000",none,"$41,000",
GP Custom + Branded + Peptides + Engine,$15K down (5% fee),"$15,000","2 x $13,650 every 4 weeks","$42,300",
GP Custom + Branded + Peptides + Engine,$10K down (15% fee),"$10,000","2 x $17,825 every 4 weeks","$45,650",
GP Operator Suite,Pay in full,"$40,000",none,"$40,000",
GP Operator Suite,$15K down (5% fee),"$15,000","2 x $13,125 every 4 weeks","$41,250",
GP Operator Suite,$10K down (15% fee),"$10,000","2 x $17,250 every 4 weeks","$44,500",
CLOSER ONLY: Slot Hold,"$5,000 deposit, credited to build","$5,000",balance per chosen plan,,
CLOSER ONLY: Slot Hold,"$2,500 deposit, credited to build","$2,500",balance per chosen plan,,
